,State,FIPS,Food Insecurity Rate,Number of Food Insecure Persons,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,Weighted Annual Food Budget Shortfall,Cost Per Meal,Child food insecurity rate,Number of Food Insecure Children,% food insecure children in HH w/ HH incomes below 185 FPL,% food insecure children in HH w/ HH incomes above 185 FPL,Year
92,AK,2270.0,0.267,2080.0,1.3,SNAP,1.85,Other Nutrition Program,0.85,0.15,0.0,1521000.0,4.14,0.399,1270.0,1.0,0.0,2014
93,AK,2275.0,0.148,350.0,1.3,SNAP,1.85,Other Nutrition Program,0.452,0.206,0.342,207000.0,3.35,0.237,90.0,0.69,0.31,2014
94,AK,2282.0,0.165,100.0,1.3,SNAP,1.85,Other Nutrition Program,0.304,0.258,0.439,62000.0,3.51,0.215,30.0,0.57,0.43,2014
95,AK,2290.0,0.231,1300.0,1.3,SNAP,1.85,Other Nutrition Program,0.641,0.224,0.135,794000.0,3.46,0.343,550.0,0.79,0.21,2014
96,AZ,4001.0,0.264,19060.0,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.915,,0.085,9916000.0,2.95,0.415,9050.0,0.96,0.04,2014
97,AZ,4003.0,0.161,21030.0,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.66,,0.34,10417000.0,2.81,0.265,7910.0,0.72,0.28,2014
98,AZ,4005.0,0.199,27040.0,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.704,,0.296,14357000.0,3.01,0.295,9060.0,0.73,0.27,2014
99,AZ,4007.0,0.184,9810.0,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.767,,0.233,5114000.0,2.95,0.322,3560.0,0.81,0.19,2014
100,AZ,4009.0,0.158,5900.0,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.72,,0.28,3028000.0,2.91,0.276,2880.0,0.81,0.19,2014
101,AZ,4011.0,0.142,1250.0,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.763,,0.237,623000.0,2.82,0.24,610.0,0.63,0.37,2014
102,AZ,4012.0,0.161,3270.0,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.896,,0.104,1702000.0,2.95,0.288,1020.0,0.98,0.02,2014
103,AZ,4013.0,0.158,622530.0,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.674,,0.326,319193000.0,2.9,0.247,249330.0,0.68,0.32,2014
104,AZ,4015.0,0.192,38950.0,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.743,,0.257,20083000.0,2.92,0.319,12650.0,0.81,0.19,2014
105,AZ,4017.0,0.228,24480.0,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.85,,0.15,12342000.0,2.86,0.37,11410.0,0.86,0.14,2014
106,AZ,4019.0,0.154,153150.0,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.719,,0.281,77182000.0,2.85,0.248,55150.0,0.71,0.29,2014
107,AZ,4021.0,0.153,59780.0,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.677,,0.323,29326000.0,2.78,0.259,25830.0,0.75,0.25,2014
108,AZ,4023.0,0.122,5780.0,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.938,,0.062,2568000.0,2.52,0.278,3850.0,0.82,0.18,2014
109,AZ,4025.0,0.17,36420.0,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.665,,0.335,19036000.0,2.96,0.271,10530.0,0.72,0.28,2014
110,AZ,4027.0,0.2,40340.0,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.786,,0.214,18558000.0,2.61,0.355,19250.0,0.86,0.14,2014
111,AR,5001.0,0.199,3750.0,1.3,SNAP,1.85,Other Nutrition Program,0.513,0.174,0.313,1917000.0,2.9,0.251,1110.0,0.73,0.27,2014
112,AR,5003.0,0.214,4580.0,1.3,SNAP,1.85,Other Nutrition Program,0.582,0.23,0.189,2320000.0,2.87,0.288,1470.0,0.84,0.17,2014
113,AR,5005.0,0.164,6740.0,1.3,SNAP,1.85,Other Nutrition Program,0.528,0.191,0.28,3374000.0,2.84,0.271,2010.0,0.76,0.24,2014
114,AR,5007.0,0.129,30010.0,1.3,SNAP,1.85,Other Nutrition Program,0.48,0.169,0.351,15103000.0,2.85,0.217,13830.0,0.69,0.31,2014
115,AR,5009.0,0.167,6200.0,1.3,SNAP,1.85,Other Nutrition Program,0.545,0.211,0.244,2621000.0,2.39,0.273,2320.0,0.84,0.17,2014
116,AR,5011.0,0.221,2500.0,1.3,SNAP,1.85,Other Nutrition Program,0.692,0.166,0.142,1242000.0,2.81,0.316,830.0,0.85,0.15,2014
117,AR,5013.0,0.195,1030.0,1.3,SNAP,1.85,Other Nutrition Program,0.553,0.217,0.23,509000.0,2.8,0.245,240.0,1.0,0.0,2014
118,AR,5015.0,0.146,4020.0,1.3,SNAP,1.85,Other Nutrition Program,0.618,0.194,0.188,1969000.0,2.77,0.254,1560.0,0.87,0.13,2014
119,AR,5017.0,0.285,3270.0,1.3,SNAP,1.85,Other Nutrition Program,0.613,0.211,0.176,1656000.0,2.87,0.316,840.0,0.7,0.3,2014
120,AR,5019.0,0.219,5000.0,1.3,SNAP,1.85,Other Nutrition Program,0.506,0.161,0.333,2567000.0,2.91,0.281,1260.0,0.72,0.29,2014
121,AR,5021.0,0.184,2870.0,1.3,SNAP,1.85,Other Nutrition Program,0.628,0.215,0.158,1282000.0,2.53,0.305,1010.0,0.92,0.08,2014
122,AR,5023.0,0.17,4390.0,1.3,SNAP,1.85,Other Nutrition Program,0.518,0.175,0.308,2282000.0,2.94,0.291,1490.0,0.68,0.32,2014
123,AR,5025.0,0.183,1570.0,1.3,SNAP,1.85,Other Nutrition Program,0.486,0.113,0.401,791000.0,2.85,0.277,570.0,0.65,0.35,2014
124,AR,5027.0,0.238,5820.0,1.3,SNAP,1.85,Other Nutrition Program,0.555,0.124,0.321,3007000.0,2.93,0.286,1530.0,0.64,0.36,2014
125,AR,5029.0,0.191,4040.0,1.3,SNAP,1.85,Other Nutrition Program,0.573,0.164,0.263,1914000.0,2.68,0.29,1440.0,0.75,0.25,2014
126,AR,5031.0,0.197,19670.0,1.3,SNAP,1.85,Other Nutrition Program,0.56,0.137,0.303,9697000.0,2.79,0.273,6790.0,0.72,0.28,2014
127,AR,5033.0,0.161,9930.0,1.3,SNAP,1.85,Other Nutrition Program,0.603,0.156,0.241,4909000.0,2.8,0.278,4410.0,0.78,0.23,2014
128,AR,5035.0,0.267,13390.0,1.3,SNAP,1.85,Other Nutrition Program,0.549,0.236,0.215,6788000.0,2.87,0.288,4090.0,0.67,0.33,2014
129,AR,5037.0,0.211,3720.0,1.3,SNAP,1.85,Other Nutrition Program,0.58,0.206,0.213,1807000.0,2.75,0.267,1160.0,0.76,0.24,2014
130,AR,5039.0,0.238,1900.0,1.3,SNAP,1.85,Other Nutrition Program,0.449,0.209,0.341,959000.0,2.86,0.246,460.0,0.66,0.34,2014
131,AR,5041.0,0.276,3480.0,1.3,SNAP,1.85,Other Nutrition Program,0.614,0.183,0.203,1747000.0,2.84,0.31,1010.0,0.69,0.31,2014
132,AR,5043.0,0.248,4650.0,1.3,SNAP,1.85,Other Nutrition Program,0.607,0.114,0.28,2316000.0,2.82,0.3,1280.0,0.62,0.39,2014
133,AR,5045.0,0.177,20810.0,1.3,SNAP,1.85,Other Nutrition Program,0.461,0.146,0.393,11049000.0,3.01,0.232,6600.0,0.62,0.38,2014
134,AR,5047.0,0.166,2980.0,1.3,SNAP,1.85,Other Nutrition Program,0.637,0.138,0.225,1410000.0,2.68,0.275,1170.0,0.83,0.17,2014
135,AR,5049.0,0.17,2080.0,1.3,SNAP,1.85,Other Nutrition Program,0.625,0.208,0.168,981000.0,2.67,0.309,760.0,0.87,0.13,2014
136,AR,5051.0,0.187,18110.0,1.3,SNAP,1.85,Other Nutrition Program,0.625,0.08,0.295,9047000.0,2.83,0.295,5960.0,0.7,0.3,2014
137,AR,5053.0,0.149,2680.0,1.3,SNAP,1.85,Other Nutrition Program,0.471,0.157,0.372,1379000.0,2.92,0.236,1010.0,0.64,0.36,2014
138,AR,5055.0,0.178,7640.0,1.3,SNAP,1.85,Other Nutrition Program,0.559,0.154,0.287,3937000.0,2.92,0.271,2900.0,0.74,0.26,2014
139,AR,5057.0,0.209,4690.0,1.3,SNAP,1.85,Other Nutrition Program,0.647,0.178,0.175,2232000.0,2.7,0.296,1740.0,0.74,0.26,2014
140,AR,5059.0,0.174,5800.0,1.3,SNAP,1.85,Other Nutrition Program,0.462,0.209,0.329,2922000.0,2.85,0.255,1880.0,0.72,0.28,2014
141,AR,5061.0,0.193,2650.0,1.3,SNAP,1.85,Other Nutrition Program,0.634,0.22,0.146,1290000.0,2.76,0.269,970.0,0.86,0.14,2014
142,AR,5063.0,0.188,6930.0,1.3,SNAP,1.85,Other Nutrition Program,0.599,0.126,0.275,3286000.0,2.69,0.307,2730.0,0.74,0.26,2014
143,AR,5065.0,0.173,2340.0,1.3,SNAP,1.85,Other Nutrition Program,0.577,0.246,0.177,1132000.0,2.74,0.285,730.0,0.91,0.1,2014
144,AR,5067.0,0.227,4040.0,1.3,SNAP,1.85,Other Nutrition Program,0.494,0.175,0.331,1988000.0,2.79,0.337,1220.0,0.81,0.19,2014
145,AR,5069.0,0.271,20250.0,1.3,SNAP,1.85,Other Nutrition Program,0.503,0.187,0.31,10450000.0,2.92,0.285,4980.0,0.69,0.31,2014
146,AR,5071.0,0.167,4300.0,1.3,SNAP,1.85,Other Nutrition Program,0.669,0.189,0.142,2092000.0,2.76,0.287,1810.0,0.87,0.13,2014
147,AR,5073.0,0.24,1770.0,1.3,SNAP,1.85,Other Nutrition Program,0.587,0.185,0.227,900000.0,2.88,0.279,450.0,0.67,0.33,2014
148,AR,5075.0,0.191,3270.0,1.3,SNAP,1.85,Other Nutrition Program,0.687,0.076,0.237,1602000.0,2.77,0.317,1210.0,0.83,0.17,2014
149,AR,5077.0,0.288,2920.0,1.3,SNAP,1.85,Other Nutrition Program,0.544,0.263,0.193,1430000.0,2.77,0.298,600.0,0.68,0.32,2014
150,AR,5079.0,0.229,3230.0,1.3,SNAP,1.85,Other Nutrition Program,0.471,0.129,0.4,1606000.0,2.82,0.299,780.0,0.8,0.21,2014
151,AR,5081.0,0.185,2380.0,1.3,SNAP,1.85,Other Nutrition Program,0.496,0.17,0.334,1145000.0,2.72,0.25,740.0,0.58,0.42,2014
152,AR,5083.0,0.167,3700.0,1.3,SNAP,1.85,Other Nutrition Program,0.572,0.215,0.213,1690000.0,2.59,0.272,1400.0,0.8,0.2,2014
153,AR,5085.0,0.155,10890.0,1.3,SNAP,1.85,Other Nutrition Program,0.444,0.151,0.404,5685000.0,2.96,0.239,4520.0,0.65,0.35,2014
154,AR,5087.0,0.157,2470.0,1.3,SNAP,1.85,Other Nutrition Program,0.737,0.127,0.136,1220000.0,2.8,0.277,1030.0,0.92,0.08,2014
155,AR,5089.0,0.166,2750.0,1.3,SNAP,1.85,Other Nutrition Program,0.642,0.214,0.144,1315000.0,2.71,0.287,830.0,0.91,0.09,2014
156,AR,5091.0,0.207,9030.0,1.3,SNAP,1.85,Other Nutrition Program,0.538,0.175,0.287,4530000.0,2.84,0.266,2800.0,0.77,0.24,2014
157,AR,5093.0,0.255,11580.0,1.3,SNAP,1.85,Other Nutrition Program,0.615,0.192,0.193,5585000.0,2.73,0.314,3900.0,0.76,0.24,2014
158,AR,5095.0,0.257,2020.0,1.3,SNAP,1.85,Other Nutrition Program,0.658,0.177,0.164,954000.0,2.68,0.313,550.0,0.68,0.33,2014
159,AR,5097.0,0.174,1620.0,1.3,SNAP,1.85,Other Nutrition Program,0.596,0.198,0.206,794000.0,2.78,0.293,540.0,0.76,0.24,2014
160,AR,5099.0,0.224,1990.0,1.3,SNAP,1.85,Other Nutrition Program,0.728,0.15,0.122,975000.0,2.77,0.314,660.0,0.86,0.14,2014
161,AR,5101.0,0.161,1310.0,1.3,SNAP,1.85,Other Nutrition Program,0.724,0.108,0.168,632000.0,2.73,0.275,450.0,0.92,0.08,2014
162,AR,5103.0,0.242,6150.0,1.3,SNAP,1.85,Other Nutrition Program,0.574,0.22,0.206,2960000.0,2.73,0.286,1680.0,0.77,0.23,2014
163,AR,5105.0,0.158,1630.0,1.3,SNAP,1.85,Other Nutrition Program,0.465,0.247,0.288,849000.0,2.95,0.26,610.0,0.88,0.12,2014
164,AR,5107.0,0.316,6590.0,1.3,SNAP,1.85,Other Nutrition Program,0.644,0.254,0.102,3309000.0,2.84,0.33,1890.0,0.67,0.34,2014
165,AR,5109.0,0.184,2050.0,1.3,SNAP,1.85,Other Nutrition Program,0.657,0.132,0.212,1014000.0,2.8,0.314,840.0,0.83,0.17,2014
166,AR,5111.0,0.207,5030.0,1.3,SNAP,1.85,Other Nutrition Program,0.681,0.155,0.164,2344000.0,2.64,0.318,1850.0,0.84,0.16,2014
167,AR,5113.0,0.168,3440.0,1.3,SNAP,1.85,Other Nutrition Program,0.685,0.162,0.154,1679000.0,2.76,0.314,1510.0,0.89,0.11,2014
168,AR,5115.0,0.17,10660.0,1.3,SNAP,1.85,Other Nutrition Program,0.549,0.154,0.297,5282000.0,2.81,0.268,3860.0,0.8,0.2,2014
169,AR,5117.0,0.189,1600.0,1.3,SNAP,1.85,Other Nutrition Program,0.625,0.224,0.151,812000.0,2.87,0.275,490.0,0.87,0.14,2014
170,AR,5119.0,0.211,82220.0,1.3,SNAP,1.85,Other Nutrition Program,0.444,0.187,0.368,42583000.0,2.93,0.234,21700.0,0.64,0.36,2014
171,AR,5121.0,0.185,3290.0,1.3,SNAP,1.85,Other Nutrition Program,0.586,0.097,0.317,1612000.0,2.78,0.311,1270.0,0.65,0.35,2014
172,AR,5123.0,0.278,7680.0,1.3,SNAP,1.85,Other Nutrition Program,0.567,0.173,0.261,3644000.0,2.69,0.31,1990.0,0.71,0.29,2014
173,AR,5125.0,0.139,15530.0,1.3,SNAP,1.85,Other Nutrition Program,0.355,0.176,0.469,8262000.0,3.01,0.214,5760.0,0.57,0.43,2014
174,AR,5127.0,0.155,1710.0,1.3,SNAP,1.85,Other Nutrition Program,0.719,0.13,0.152,822000.0,2.72,0.282,770.0,0.91,0.09,2014
175,AR,5129.0,0.175,1400.0,1.3,SNAP,1.85,Other Nutrition Program,0.675,0.148,0.177,666000.0,2.7,0.294,490.0,0.98,0.03,2014
176,AR,5131.0,0.177,22470.0,1.3,SNAP,1.85,Other Nutrition Program,0.632,0.116,0.252,10516000.0,2.65,0.286,9020.0,0.76,0.24,2014
177,AR,5133.0,0.143,2470.0,1.3,SNAP,1.85,Other Nutrition Program,0.768,0.158,0.075,1190000.0,2.73,0.264,1330.0,0.95,0.05,2014
178,AR,5135.0,0.189,3240.0,1.3,SNAP,1.85,Other Nutrition Program,0.679,0.123,0.198,1538000.0,2.69,0.311,1130.0,0.84,0.16,2014
179,AR,5137.0,0.192,2400.0,1.3,SNAP,1.85,Other Nutrition Program,0.756,0.074,0.17,1171000.0,2.76,0.339,880.0,0.9,0.11,2014
180,AR,5139.0,0.222,9090.0,1.3,SNAP,1.85,Other Nutrition Program,0.526,0.179,0.295,4602000.0,2.87,0.281,2730.0,0.7,0.31,2014
181,AR,5141.0,0.193,3300.0,1.3,SNAP,1.85,Other Nutrition Program,0.683,0.144,0.173,1697000.0,2.91,0.344,1180.0,0.91,0.09,2014
182,AR,5143.0,0.164,34730.0,1.3,SNAP,1.85,Other Nutrition Program,0.599,0.151,0.251,17055000.0,2.78,0.244,13150.0,0.77,0.23,2014
183,AR,5145.0,0.179,14030.0,1.3,SNAP,1.85,Other Nutrition Program,0.513,0.164,0.323,7075000.0,2.86,0.261,4850.0,0.72,0.28,2014
184,AR,5147.0,0.243,1720.0,1.3,SNAP,1.85,Other Nutrition Program,0.644,0.21,0.146,847000.0,2.79,0.305,480.0,0.84,0.17,2014
185,AR,5149.0,0.149,3280.0,1.3,SNAP,1.85,Other Nutrition Program,0.616,0.211,0.173,1585000.0,2.74,0.251,1410.0,0.81,0.19,2014
186,CA,6001.0,0.149,232040.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.644,,0.356,139752000.0,3.41,0.194,66520.0,0.59,0.41,2014
187,CA,6003.0,0.15,180.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.724,,0.276,105000.0,3.31,0.217,50.0,0.43,0.57,2014
188,CA,6005.0,0.147,5450.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.552,,0.448,3694000.0,3.84,0.254,1520.0,0.57,0.43,2014
189,CA,6007.0,0.18,39960.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.823,,0.177,21387000.0,3.03,0.271,12330.0,0.73,0.27,2014
190,CA,6009.0,0.141,6320.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.6,,0.4,4596000.0,4.12,0.227,1910.0,0.46,0.54,2014
191,CA,6011.0,0.143,3060.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.971,,0.029,1589000.0,2.94,0.276,1700.0,0.85,0.15,2014
192,CA,6013.0,0.125,134810.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.623,,0.377,78156000.0,3.28,0.187,48690.0,0.55,0.45,2014
193,CA,6015.0,0.188,5270.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.74,,0.26,2932000.0,3.15,0.297,1780.0,0.78,0.23,2014
194,CA,6017.0,0.13,23650.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.577,,0.423,16927000.0,4.05,0.21,8300.0,0.52,0.48,2014
195,CA,6019.0,0.16,151960.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.989,,0.011,74404000.0,2.77,0.292,81200.0,0.8,0.21,2014
196,CA,6021.0,0.149,4170.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.936,,0.064,2259000.0,3.07,0.255,1950.0,0.82,0.18,2014
197,CA,6023.0,0.18,24340.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.806,,0.194,12822000.0,2.98,0.265,7030.0,0.72,0.28,2014
198,CA,6025.0,0.166,29380.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.981,,0.019,13279000.0,2.56,0.33,16820.0,0.8,0.2,2014
199,CA,6027.0,0.143,2640.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.691,,0.309,1391000.0,2.98,0.222,860.0,0.64,0.36,2014
200,CA,6029.0,0.143,122940.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.978,,0.022,62378000.0,2.87,0.265,67580.0,0.78,0.22,2014
201,CA,6031.0,0.156,23590.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.901,,0.099,12431000.0,2.98,0.279,11680.0,0.82,0.18,2014
202,CA,6033.0,0.181,11590.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.9,,0.1,7236000.0,3.54,0.296,3910.0,0.8,0.2,2014
203,CA,6035.0,0.171,5720.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.438,,0.562,3453000.0,3.42,0.282,1410.0,0.58,0.42,2014
204,CA,6037.0,0.14,1393170.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.919,,0.081,774124000.0,3.15,0.228,536100.0,0.72,0.28,2014
205,CA,6039.0,0.134,20380.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",1.0,,0.0,12738000.0,3.54,0.264,11320.0,0.84,0.16,2014
206,CA,6041.0,0.115,29620.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.513,,0.487,19820000.0,3.79,0.171,9050.0,0.45,0.55,2014
207,CA,6043.0,0.163,2920.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.68,,0.32,1500000.0,2.91,0.27,840.0,0.59,0.41,2014
208,CA,6045.0,0.157,13780.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.9,,0.1,9269000.0,3.81,0.26,5000.0,0.8,0.2,2014
209,CA,6047.0,0.155,40480.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",1.0,,0.0,20961000.0,2.93,0.289,23190.0,0.85,0.15,2014
210,CA,6049.0,0.176,1640.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.799,,0.201,868000.0,3.0,0.3,590.0,0.77,0.23,2014
211,CA,6051.0,0.121,1720.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.856,,0.144,890000.0,2.93,0.189,540.0,0.86,0.14,2014
212,CA,6053.0,0.118,49980.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.987,,0.013,26697000.0,3.03,0.23,25890.0,0.76,0.24,2014
213,CA,6055.0,0.106,14820.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.737,,0.263,9840000.0,3.76,0.186,5770.0,0.66,0.34,2014
214,CA,6057.0,0.142,14000.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.633,,0.367,10591000.0,4.28,0.234,4250.0,0.58,0.42,2014
215,CA,6059.0,0.109,335480.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.78,,0.22,190303000.0,3.21,0.193,141170.0,0.63,0.37,2014
216,CA,6061.0,0.126,45470.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.535,,0.465,27126000.0,3.38,0.203,17310.0,0.5,0.5,2014
217,CA,6063.0,0.181,3490.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.725,,0.275,1909000.0,3.1,0.293,980.0,0.78,0.23,2014
218,CA,6065.0,0.116,262830.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.935,,0.065,135683000.0,2.92,0.218,134270.0,0.73,0.27,2014
219,CA,6067.0,0.167,242830.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.784,,0.216,127577000.0,2.98,0.244,88290.0,0.7,0.3,2014
220,CA,6069.0,0.09,5100.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.922,,0.078,3509000.0,3.9,0.201,3180.0,0.67,0.33,2014
221,CA,6071.0,0.122,254220.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.971,,0.029,127873000.0,2.85,0.225,131290.0,0.74,0.26,2014
222,CA,6073.0,0.133,423130.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.762,,0.238,240565000.0,3.22,0.208,151440.0,0.66,0.35,2014
223,CA,6075.0,0.16,132670.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.634,,0.366,91808000.0,3.92,0.186,20670.0,0.55,0.45,2014
224,CA,6077.0,0.156,109110.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.878,,0.122,56953000.0,2.96,0.256,51090.0,0.75,0.25,2014
225,CA,6079.0,0.138,37930.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.686,,0.314,23253000.0,3.47,0.206,10470.0,0.63,0.37,2014
226,CA,6081.0,0.101,74910.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.589,,0.411,45860000.0,3.47,0.161,25960.0,0.52,0.48,2014
227,CA,6083.0,0.115,49610.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.899,,0.101,27288000.0,3.12,0.2,19660.0,0.71,0.29,2014
228,CA,6085.0,0.11,202400.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.633,,0.367,120782000.0,3.38,0.172,74830.0,0.54,0.46,2014
229,CA,6087.0,0.134,35940.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.722,,0.278,22071000.0,3.48,0.216,11850.0,0.64,0.36,2014
230,CA,6089.0,0.183,32710.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.784,,0.216,16624000.0,2.88,0.286,11200.0,0.76,0.25,2014
231,CA,6091.0,0.167,500.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.634,,0.366,284000.0,3.22,0.289,140.0,0.61,0.39,2014
232,CA,6093.0,0.2,8840.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.841,,0.159,5106000.0,3.27,0.318,2880.0,0.78,0.22,2014
233,CA,6095.0,0.152,64110.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.626,,0.374,33737000.0,2.98,0.219,21790.0,0.59,0.41,2014
234,CA,6097.0,0.124,61170.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.708,,0.292,36985000.0,3.42,0.199,20830.0,0.64,0.36,2014
235,CA,6099.0,0.15,78380.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.922,,0.078,41145000.0,2.97,0.265,38670.0,0.76,0.24,2014
236,CA,6101.0,0.169,16100.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.874,,0.126,7513000.0,2.64,0.276,7040.0,0.8,0.2,2014
237,CA,6103.0,0.157,9950.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.909,,0.091,5385000.0,3.07,0.271,4230.0,0.84,0.16,2014
238,CA,6105.0,0.182,2460.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.79,,0.21,1321000.0,3.04,0.298,710.0,0.74,0.26,2014
239,CA,6107.0,0.144,65040.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",1.0,,0.0,32526000.0,2.83,0.29,41790.0,0.85,0.15,2014
240,CA,6109.0,0.162,8810.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.683,,0.317,5948000.0,3.82,0.259,2370.0,0.76,0.24,2014
241,CA,6111.0,0.094,78840.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.799,,0.201,45529000.0,3.27,0.188,39120.0,0.63,0.37,2014
242,CA,6113.0,0.152,31100.0,2.0,"SNAP, Other Nutrition Programs",2.0,"SNAP, Other Nutrition Programs",0.8,,0.2,17266000.0,3.14,0.217,9830.0,0.7,0.3,2014
